Sport,Email #,Subject Line,Age Group ,Click Rate (%)
Women's Basketball,2,A Message From Coach Michael Grinder,51-60,6.6
Women's Basketball,2,A Message From Coach Michael Grinder,61-70,0
Women's Basketball,2,A Message From Coach Michael Grinder,70+,5.2
Women's Basketball,3,Last Chance to Give - Women's Basketball ,0-18,0
Women's Basketball,3,Last Chance to Give - Women's Basketball ,19-30,0
Women's Basketball,3,Last Chance to Give - Women's Basketball ,31-40,0
Women's Basketball,3,Last Chance to Give - Women's Basketball ,41-50,0
Women's Basketball,3,Last Chance to Give - Women's Basketball ,51-60,6.6
Women's Basketball,3,Last Chance to Give - Women's Basketball ,61-70,0
Women's Basketball,3,Last Chance to Give - Women's Basketball ,70+,5.2
Men's Basketball,1,Athletics Giving Week Has Begun - Men's Basketball ,0-18,0
Men's Basketball,1,Athletics Giving Week Has Begun - Men's Basketball ,19-30,4.7
Men's Basketball,1,Athletics Giving Week Has Begun - Men's Basketball ,31-40,0
Men's Basketball,1,Athletics Giving Week Has Begun - Men's Basketball ,41-50,0
Men's Basketball,1,Athletics Giving Week Has Begun - Men's Basketball ,51-60,0
Men's Basketball,1,Athletics Giving Week Has Begun - Men's Basketball ,61-70,3.7
Men's Basketball,1,Athletics Giving Week Has Begun - Men's Basketball ,70+,0
Men's Basketball,2,A Message From Coach Jeff Santarsiero,0-18,0
Men's Basketball,2,A Message From Coach Jeff Santarsiero,19-30,9.5
Men's Basketball,2,A Message From Coach Jeff Santarsiero,31-40,3.2
Men's Basketball,2,A Message From Coach Jeff Santarsiero,41-50,3.2
Men's Basketball,2,A Message From Coach Jeff Santarsiero,51-60,0
Men's Basketball,2,A Message From Coach Jeff Santarsiero,61-70,3.7
Men's Basketball,2,A Message From Coach Jeff Santarsiero,70+,0
Men's Basketball,3,Last Chance to Give - Men's Basketball ,0-18,0
Men's Basketball,3,Last Chance to Give - Men's Basketball ,19-30,4.7
Men's Basketball,3,Last Chance to Give - Men's Basketball ,31-40,0
Men's Basketball,3,Last Chance to Give - Men's Basketball ,41-50,0
Men's Basketball,3,Last Chance to Give - Men's Basketball ,51-60,0
Men's Basketball,3,Last Chance to Give - Men's Basketball ,61-70,3.7
Men's Basketball,3,Last Chance to Give - Men's Basketball ,70+,0
Softball,1,Athletics Giving Week Has Begun - Softball,0-18,0
Softball,1,Athletics Giving Week Has Begun - Softball,19-30,0
Softball,1,Athletics Giving Week Has Begun - Softball,31-40,0
Softball,1,Athletics Giving Week Has Begun - Softball,41-50,0
Softball,1,Athletics Giving Week Has Begun - Softball,51-60,0
Softball,1,Athletics Giving Week Has Begun - Softball,61-70,0
Softball,1,Athletics Giving Week Has Begun - Softball,70+,0
Softball,2,A Message From Coach Van Zanic,0-18,0
Softball,2,A Message From Coach Van Zanic,19-30,8
Softball,2,A Message From Coach Van Zanic,31-40,12.5
Softball,2,A Message From Coach Van Zanic,41-50,6.6
Softball,2,A Message From Coach Van Zanic,51-60,0
Softball,2,A Message From Coach Van Zanic,61-70,0
Softball,2,A Message From Coach Van Zanic,70+,0
Softball,3,Last Chance to Give - Softball,0-18,0
Softball,3,Last Chance to Give - Softball,19-30,4
Softball,3,Last Chance to Give - Softball,31-40,3.1
Softball,3,Last Chance to Give - Softball,41-50,0
Softball,3,Last Chance to Give - Softball,51-60,0
Softball,3,Last Chance to Give - Softball,61-70,0
Softball,3,Last Chance to Give - Softball,70+,0
Baseball,1,Athletics Giving Week Has Begun - Baseball,0-18,0
Baseball,1,Athletics Giving Week Has Begun - Baseball,19-30,2.4
Baseball,1,Athletics Giving Week Has Begun - Baseball,31-40,0
Baseball,1,Athletics Giving Week Has Begun - Baseball,41-50,0
Baseball,1,Athletics Giving Week Has Begun - Baseball,51-60,0
Baseball,1,Athletics Giving Week Has Begun - Baseball,61-70,0
Baseball,1,Athletics Giving Week Has Begun - Baseball,70+,0
Baseball,2,A Message From Coach Alan Sumner,0-18,0
Baseball,2,A Message From Coach Alan Sumner,19-30,7.3
Baseball,2,A Message From Coach Alan Sumner,31-40,5
Baseball,2,A Message From Coach Alan Sumner,41-50,6
Baseball,2,A Message From Coach Alan Sumner,51-60,5.8
Baseball,2,A Message From Coach Alan Sumner,61-70,6.25
Baseball,2,A Message From Coach Alan Sumner,70+,9.5
Baseball,3,Last Chance to Give - Baseball,0-18,0
Baseball,3,Last Chance to Give - Baseball,19-30,0
Baseball,3,Last Chance to Give - Baseball,31-40,0
Baseball,3,Last Chance to Give - Baseball,41-50,3
Baseball,3,Last Chance to Give - Baseball,51-60,0
Baseball,3,Last Chance to Give - Baseball,61-70,0
Baseball,3,Last Chance to Give - Baseball,70+,0
Golf,1,Athletics Giving Week Has Begun - Golf,0-18,0
Golf,1,Athletics Giving Week Has Begun - Golf,19-30,0
Golf,1,Athletics Giving Week Has Begun - Golf,31-40,0
Golf,1,Athletics Giving Week Has Begun - Golf,41-50,0
Golf,1,Athletics Giving Week Has Begun - Golf,51-60,0
Golf,1,Athletics Giving Week Has Begun - Golf,61-70,0
Golf,1,Athletics Giving Week Has Begun - Golf,70+,0
Golf,2,A Message From Coach Henry Kennedy,0-18,0
Golf,2,A Message From Coach Henry Kennedy,19-30,0
Golf,2,A Message From Coach Henry Kennedy,31-40,0
Golf,2,A Message From Coach Henry Kennedy,41-50,0
Golf,2,A Message From Coach Henry Kennedy,51-60,0
Golf,2,A Message From Coach Henry Kennedy,61-70,0
Golf,2,A Message From Coach Henry Kennedy,70+,11.1
Golf,3,Last Chance to Give - Golf,0-18,0
Golf,3,Last Chance to Give - Golf,19-30,0
Golf,3,Last Chance to Give - Golf,31-40,0
Golf,3,Last Chance to Give - Golf,41-50,0
Golf,3,Last Chance to Give - Golf,51-60,0
Golf,3,Last Chance to Give - Golf,61-70,0
Golf,3,Last Chance to Give - Golf,70+,0
XC,1,Athletics Giving Week Has Begun - Cross Country ,0-18,0
XC,1,Athletics Giving Week Has Begun - Cross Country ,19-30,0
XC,1,Athletics Giving Week Has Begun - Cross Country ,31-40,0
XC,1,Athletics Giving Week Has Begun - Cross Country ,41-50,11.7
XC,1,Athletics Giving Week Has Begun - Cross Country ,51-60,0
XC,1,Athletics Giving Week Has Begun - Cross Country ,61-70,0
XC,1,Athletics Giving Week Has Begun - Cross Country ,70+,9.1
XC,2,A Message From Coach Phil Thompson ,0-18,0
XC,2,A Message From Coach Phil Thompson ,19-30,0
XC,2,A Message From Coach Phil Thompson ,31-40,0
XC,2,A Message From Coach Phil Thompson ,41-50,0
XC,2,A Message From Coach Phil Thompson ,51-60,0
XC,2,A Message From Coach Phil Thompson ,61-70,0
XC,2,A Message From Coach Phil Thompson ,70+,9.1*
XC,3,Last Chance to Give - Cross Country ,0-18,0
XC,3,Last Chance to Give - Cross Country ,19-30,0
XC,3,Last Chance to Give - Cross Country ,31-40,0
XC,3,Last Chance to Give - Cross Country ,41-50,0
XC,3,Last Chance to Give - Cross Country ,51-60,0
XC,3,Last Chance to Give - Cross Country ,61-70,0
XC,3,Last Chance to Give - Cross Country ,70+,0
Track & Field ,1,Athletics Giving Week Has Begun - Track & Field ,0-18,0
Track & Field ,1,Athletics Giving Week Has Begun - Track & Field ,19-30,0
Track & Field ,1,Athletics Giving Week Has Begun - Track & Field ,31-40,0
Track & Field ,1,Athletics Giving Week Has Begun - Track & Field ,41-50,0
Track & Field ,1,Athletics Giving Week Has Begun - Track & Field ,51-60,0
Track & Field ,1,Athletics Giving Week Has Begun - Track & Field ,61-70,4.3
Track & Field ,1,Athletics Giving Week Has Begun - Track & Field ,70+,0
Track & Field ,2,A Message From Coach Phil Thompson ,0-18,0
Track & Field ,2,A Message From Coach Phil Thompson ,19-30,0
Track & Field ,2,A Message From Coach Phil Thompson ,31-40,0
Track & Field ,2,A Message From Coach Phil Thompson ,41-50,0
Track & Field ,2,A Message From Coach Phil Thompson ,51-60,0
Track & Field ,2,A Message From Coach Phil Thompson ,61-70,4.3 *
Track & Field ,2,A Message From Coach Phil Thompson ,70+,0
Track & Field ,3,Last Chance to Give - Track & Field ,0-18,0
Track & Field ,3,Last Chance to Give - Track & Field ,19-30,0
Track & Field ,3,Last Chance to Give - Track & Field ,31-40,0
Track & Field ,3,Last Chance to Give - Track & Field ,41-50,0
Track & Field ,3,Last Chance to Give - Track & Field ,51-60,0
Track & Field ,3,Last Chance to Give - Track & Field ,61-70,0
Track & Field ,3,Last Chance to Give - Track & Field ,70+,0
Tennis,1,Athletics Giving Week Has Begun - Tennis,0-18,0
Tennis,1,Athletics Giving Week Has Begun - Tennis,19-30,0
Tennis,1,Athletics Giving Week Has Begun - Tennis,31-40,0
Tennis,1,Athletics Giving Week Has Begun - Tennis,41-50,3.2
Tennis,1,Athletics Giving Week Has Begun - Tennis,51-60,0
Tennis,1,Athletics Giving Week Has Begun - Tennis,61-70,4.1
Tennis,1,Athletics Giving Week Has Begun - Tennis,70+,0
Tennis,2,A Message From Coach Mandee Craft,0-18,0
Tennis,2,A Message From Coach Mandee Craft,19-30,8.1
Tennis,2,A Message From Coach Mandee Craft,31-40,7.1
Tennis,2,A Message From Coach Mandee Craft,41-50,3.2
Tennis,2,A Message From Coach Mandee Craft,51-60,0
Tennis,2,A Message From Coach Mandee Craft,61-70,0
Tennis,2,A Message From Coach Mandee Craft,70+,0
Tennis,3,Last Chance to Give - Tennis ,0-18,0
Tennis,3,Last Chance to Give - Tennis ,19-30,0
Tennis,3,Last Chance to Give - Tennis ,31-40,2.3
Tennis,3,Last Chance to Give - Tennis ,41-50,0
Tennis,3,Last Chance to Give - Tennis ,51-60,0
Tennis,3,Last Chance to Give - Tennis ,61-70,0
Tennis,3,Last Chance to Give - Tennis ,70+,0
Women's Lacrosse,1,Athletics Giving Week Has Begun - Women's Lacrosse,0-18,0
Women's Lacrosse,1,Athletics Giving Week Has Begun - Women's Lacrosse,19-30,0
Women's Lacrosse,1,Athletics Giving Week Has Begun - Women's Lacrosse,31-40,0
Women's Lacrosse,1,Athletics Giving Week Has Begun - Women's Lacrosse,41-50,3.2
Women's Lacrosse,1,Athletics Giving Week Has Begun - Women's Lacrosse,51-60,0
Women's Lacrosse,1,Athletics Giving Week Has Begun - Women's Lacrosse,61-70,4.1
Women's Lacrosse,1,Athletics Giving Week Has Begun - Women's Lacrosse,70+,0
Women's Lacrosse,2,A Message From Coach Liz Geyer,0-18,0
Women's Lacrosse,2,A Message From Coach Liz Geyer,19-30,8.1
Women's Lacrosse,2,A Message From Coach Liz Geyer,31-40,7.1
Women's Lacrosse,2,A Message From Coach Liz Geyer,41-50,3.2
Women's Lacrosse,2,A Message From Coach Liz Geyer,51-60,0
Women's Lacrosse,2,A Message From Coach Liz Geyer,61-70,0
Women's Lacrosse,2,A Message From Coach Liz Geyer,70+,0
Women's Lacrosse,3,Last Chance to Give - Women's Lacrosse ,0-18,0
Women's Lacrosse,3,Last Chance to Give - Women's Lacrosse ,19-30,0
Women's Lacrosse,3,Last Chance to Give - Women's Lacrosse ,31-40,2.3
Women's Lacrosse,3,Last Chance to Give - Women's Lacrosse ,41-50,0
Women's Lacrosse,3,Last Chance to Give - Women's Lacrosse ,51-60,0
Women's Lacrosse,3,Last Chance to Give - Women's Lacrosse ,61-70,0
Women's Lacrosse,3,Last Chance to Give - Women's Lacrosse ,70+,0
Football,1,Athletics Giving Week Has Begun - Football,0-18,0
Football,1,Athletics Giving Week Has Begun - Football,19-30,0.76
Football,1,Athletics Giving Week Has Begun - Football,31-40,0
Football,1,Athletics Giving Week Has Begun - Football,41-50,1.6
Football,1,Athletics Giving Week Has Begun - Football,51-60,0
Football,1,Athletics Giving Week Has Begun - Football,61-70,3.2
Football,1,Athletics Giving Week Has Begun - Football,70+,2.7
Football,2,A Message From Coach Geno DeMarco,0-18,0
Football,2,A Message From Coach Geno DeMarco,19-30,1.5
Football,2,A Message From Coach Geno DeMarco,31-40,1.4
Football,2,A Message From Coach Geno DeMarco,41-50,3.2
Football,2,A Message From Coach Geno DeMarco,51-60,3.2
Football,2,A Message From Coach Geno DeMarco,61-70,7.2
Football,2,A Message From Coach Geno DeMarco,70+,4.6
Football,3,Last Chance to Give - Football ,0-18,0
Football,3,Last Chance to Give - Football ,19-30,0
Football,3,Last Chance to Give - Football ,31-40,0
Football,3,Last Chance to Give - Football ,41-50,0.8
Football,3,Last Chance to Give - Football ,51-60,0
Football,3,Last Chance to Give - Football ,61-70,0
Football,3,Last Chance to Give - Football ,70+,0
