Assigned Appeal Description,Assigned Appeal ID,Assigned Appeal Response,Age,Constituent ID,Lifetime Giving
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,36,1332448,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,37,1339645,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,36,1340590,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,45,1214137,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,47,1190763,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,41,1277953,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,46,1239547,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,43,1246666,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,43,1252414,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,45,1252885,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,43,1251727,"$1,350.00 "
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,42,1268827,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,37,1328959,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,36,1324849,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,37,1333381,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,37,1331380,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,35,1347637,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,35,1345816,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,35,1348270,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,30,1404934,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,30,1404595,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,29,1405672,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,29,1405819,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,30,1407436,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,30,1408162,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,57,999933143,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,29,1407874,$20.17 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,29,1411975,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,29,1417720,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,29,1416841,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,30,1420639,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,30,1405381,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,29,1405708,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,30,1407505,$20.17 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,58,999933142,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,28,1416064,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,30,1421287,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,29,1418467,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,29,1418152,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,29,1417918,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,29,1420804,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,29,1415374,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,28,1501783,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,28,1389244,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,29,1503147,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,27,1503665,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,28,1500840,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,27,1501391,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,27,1501616,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,31,1396063,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,31,1399315,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,31,1395535,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,30,1397311,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,34,1360741,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,33,1358980,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,33,1385437,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,31,1389301,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,31,1393483,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,31,1390168,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,30,1395541,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,31,1400746,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,60,1269949,$100.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,32,1384837,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,26,1512733,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,26,1511341,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,25,1511657,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,26,1513535,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,29,1404232,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,30,1404256,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,26,1514739,$20.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,25,1511557,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,25,1511074,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,25,1512632,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,25,1516895,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,28,1502989,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,28,1501729,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,60,999935900,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,26,1506800,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,24,1531260,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,27,1509200,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,26,1506437,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,27,1505979,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,27,1508213,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,24,1525615,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,,999941522,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,,999942837,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,23,1538633,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,23,1522600,$0.00 
Today Is Your Last Chance To Give - Tennis 20250426,BBOX58532427,Bounced,31,1399315,$0.00 
Today Is Your Last Chance To Give - Tennis 20250426,BBOX58532427,Bounced,30,1404934,$0.00 
Today Is Your Last Chance To Give - Tennis 20250426,BBOX58532427,Bounced,30,1420639,$0.00 
Today Is Your Last Chance To Give - Tennis 20250426,BBOX58532427,Bounced,27,1503665,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,39,1307683,$0.00 
A Message From Coach Jeff Santarsiero 20250422,BBOX58519971,Bounced,86,991015423,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,52,1053481,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,32,1384837,$0.00 
A Message From Coach Jeff Santarsiero 20250422,BBOX58519971,Bounced,70,991005318,$0.00 
A Message From Coach Jeff Santarsiero 20250422,BBOX58519971,Bounced,67,991005210,$0.00 
A Message From Coach Jeff Santarsiero 20250422,BBOX58519971,Bounced,70,991005629,$0.00 
A Message From Coach Gary Dunda 20250422,BBOX58519911,Bounced,23,1522600,$0.00 
A Message From Coach Gary Dunda 20250422,BBOX58519911,Bounced,33,1358980,$0.00 
A Message From Coach Gary Dunda 20250422,BBOX58519911,Bounced,66,991000017,"$1,300.00 "
A Message From Coach Gary Dunda 20250422,BBOX58519911,Bounced,37,1333381,$0.00 
A Message From Coach Gary Dunda 20250422,BBOX58519911,Bounced,37,1328152,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,25,1511657,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,26,1514739,$20.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,43,1246666,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,68,991000724,$475.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,30,1408162,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,29,1411975,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,30,1407505,$20.17 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,30,1407436,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,29,1418467,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,,999942612,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,47,1190763,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,27,1508213,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,75,991013380,$914.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,26,1513535,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,31,1396063,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,50,1111579,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,28,1502989,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,30,1397311,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,43,1251727,"$1,350.00 "
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,52,1037674,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,33,1385437,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,29,1418152,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,49,1108444,$0.00 
Today Is Your Last Chance To Give - Men's Basketball 20250426,BBOX58532090,Bounced,46,1239547,$0.00 
Today Is Your Last Chance To Give - Men's Basketball 20250426,BBOX58532090,Bounced,42,1268827,$0.00 
Today Is Your Last Chance To Give - Men's Basketball 20250426,BBOX58532090,Bounced,41,1277953,$0.00 
Today Is Your Last Chance To Give - Men's Basketball 20250426,BBOX58532090,Bounced,33,1371679,$0.00 
Today Is Your Last Chance To Give - Men's Basketball 20250426,BBOX58532090,Bounced,30,1421287,$0.00 
Today Is Your Last Chance To Give - Men's Basketball 20250426,BBOX58532090,Bounced,29,1503147,$0.00 
Today Is Your Last Chance To Give - Men's Soccer 20250426,BBOX58531646,Bounced,23,1522600,$0.00 
Today Is Your Last Chance To Give - Men's Soccer 20250426,BBOX58531646,Bounced,33,1358980,$0.00 
Today Is Your Last Chance To Give - Men's Soccer 20250426,BBOX58531646,Bounced,66,991000017,"$1,300.00 "
Today Is Your Last Chance To Give - Men's Soccer 20250426,BBOX58531646,Bounced,37,1328152,$0.00 
Today Is Your Last Chance To Give - Men's Volleyball 20250426,BBOX58531596,Bounced,66,991000696,$30.00 
Athletics Giving Week Has Begun - Cross Country 20250421,BBOX58575785,Bounced,60,991002344,$740.00 
Athletics Giving Week Has Begun - Cross Country 20250421,BBOX58575785,Bounced,43,1253836,$0.00 
A Message From Coach Micah Fitz 20250422,BBOX58519802,Bounced,31,1400746,$0.00 
A Message From Coach Micah Fitz 20250422,BBOX58519802,Bounced,31,1389301,$0.00 
A Message From Coach Micah Fitz 20250422,BBOX58519802,Bounced,28,1501783,$0.00 
A Message From Coach Micah Fitz 20250422,BBOX58519802,Bounced,60,999935900,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,63,990000087,"$3,801.00 "
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,35,1347637,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,63,991002248,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,29,1415374,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,36,1340590,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,53,1055650,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,47,1190810,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,60,1269949,$100.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,61,991001479,$35.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,57,1203796,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,70,991001558,"$2,062.00 "
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,47,1181623,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,24,1531260,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,37,1328959,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,31,1393483,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,60,991001160,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,53,901272094,$61.25 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,37,1331380,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,26,1506800,$0.00 
Athletics Giving Week Has Begun - Football 20250421,BBOX58508095,Bounced,45,1252885,$0.00 
Athletics Giving Week Has Begun - Men's Volleyball 20250421,BBOX58507767,Bounced,66,991000696,$30.00 
Athletics Giving Week Has Begun - Men's Volleyball 20250421,BBOX58507767,Bounced,28,1501729,$0.00 
Athletics Giving Week Has Begun - Women's Volleyball 20250421,BBOX58506961,Bounced,72,990000105,$57.00 
Athletics Giving Week Has Begun - Women's Volleyball 20250421,BBOX58506961,Bounced,35,1348270,$0.00 
Athletics Giving Week Has Begun - Women's Volleyball 20250421,BBOX58506961,Bounced,30,1404256,$0.00 
Athletics Giving Week Has Begun - Women's Volleyball 20250421,BBOX58506961,Bounced,30,1405381,$0.00 
A Message From Coach Alexis Ritson 20250422,BBOX58519167,Bounced,66,991000696,$30.00 
A Message From Coach Alexis Ritson 20250422,BBOX58519167,Bounced,28,1501729,$0.00 
A Message From Coach Wendy Smith 20250422,BBOX58519246,Bounced,72,990000105,$57.00 
A Message From Coach Wendy Smith 20250422,BBOX58519246,Bounced,35,1348270,$0.00 
A Message From Coach Wendy Smith 20250422,BBOX58519246,Bounced,30,1404256,$0.00 
A Message From Coach Wendy Smith 20250422,BBOX58519246,Bounced,30,1405381,$0.00 
A Message From Coach Jeff Santarsiero 20250422,BBOX58519971,Bounced,46,1239547,$0.00 
A Message From Coach Jeff Santarsiero 20250422,BBOX58519971,Bounced,41,1277953,$0.00 
A Message From Coach Jeff Santarsiero 20250422,BBOX58519971,Bounced,42,1268827,$0.00 
A Message From Coach Jeff Santarsiero 20250422,BBOX58519971,Bounced,33,1371679,$0.00 
A Message From Coach Jeff Santarsiero 20250422,BBOX58519971,Bounced,30,1421287,$0.00 
A Message From Coach Jeff Santarsiero 20250422,BBOX58519971,Bounced,29,1503147,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,29,1417918,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,52,1053481,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,32,1384837,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,25,1511657,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,26,1514739,$20.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,43,1246666,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,68,991000724,$475.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,30,1408162,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,29,1411975,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,30,1407505,$20.17 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,30,1407436,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,29,1418467,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,47,1190763,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,27,1508213,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,26,1513535,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,31,1396063,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,50,1111579,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,28,1502989,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,30,1397311,$0.00 
Today Is Your Last Chance To Give - Football 20250426,BBOX58532229,Bounced,45,1252885,$0.00 
Today Is Your Last Chance To Give - Golf 20250426,BBOX58532156,Bounced,24,1525615,$0.00 
Today Is Your Last Chance To Give - Men's Basketball 20250426,BBOX58532090,Bounced,67,991005210,$0.00 
Today Is Your Last Chance To Give - Men's Basketball 20250426,BBOX58532090,Bounced,70,991005629,$0.00 
Today Is Your Last Chance To Give - Men's Basketball 20250426,BBOX58532090,Bounced,86,991015423,$0.00 
Athletics Giving Week Has Begun - Women's Soccer 20250421,BBOX58515537,Bounced,61,991005087,$0.00 
Athletics Giving Week Has Begun - Women's Soccer 20250421,BBOX58515537,Bounced,36,1332448,$0.00 
Athletics Giving Week Has Begun - Women's Soccer 20250421,BBOX58515537,Bounced,36,1324849,$0.00 
Athletics Giving Week Has Begun - Women's Soccer 20250421,BBOX58515537,Bounced,31,1400746,$0.00 
Athletics Giving Week Has Begun - Women's Soccer 20250421,BBOX58515537,Bounced,31,1389301,$0.00 
Athletics Giving Week Has Begun - Women's Soccer 20250421,BBOX58515537,Bounced,28,1501783,$0.00 
Athletics Giving Week Has Begun - Women's Soccer 20250421,BBOX58515537,Bounced,60,999935900,$0.00 
Today Is Your Last Chance To Give - Football 20250426,BBOX58532229,Bounced,36,1340590,$0.00 
Today Is Your Last Chance To Give - Football 20250426,BBOX58532229,Bounced,29,1415374,$0.00 
Today Is Your Last Chance To Give - Football 20250426,BBOX58532229,Bounced,47,1190810,$0.00 
Today Is Your Last Chance To Give - Football 20250426,BBOX58532229,Bounced,53,1055650,$0.00 
